,Unnamed: 0,State,District,Name,Party,Incumbent,Winner,Vote_Percentage,Raised,Spent,MaxSpentPer
0,0,AL,1,Jerry Carl,R,1,True,64.9,1971321.0,1859349.0,True
1,1,AL,1,James Averhart,D,1,False,35.0,80095.0,78973.0,False
2,2,AL,2,Barry Moore,R,1,True,65.3,650807.0,669368.0,True
3,3,AL,2,Phyllis Harvey-Hall,D,1,False,34.6,56050.0,55988.0,False
4,4,AL,3,Mike D Rogers,R,1,True,67.5,1193111.0,1218564.0,True
5,5,AL,3,Adia Winfrey,D,1,False,32.4,50273.0,40971.0,False
6,6,AL,4,Robert B Aderholt,R,1,True,82.5,1255076.0,1323812.0,True
7,7,AL,5,Mo Brooks,R,1,True,95.8,655365.0,210045.0,True
8,8,AL,6,Gary Palmer,R,1,True,97.1,907219.0,909082.0,True
9,9,AL,7,Terri Sewell,D,1,True,97.2,2168165.0,1495957.0,True
10,10,AK,1,Don Young,R,1,True,54.4,1922901.0,1790448.0,False
11,11,AK,1,Alyse Galvin,I,1,False,45.3,5178452.0,5088103.0,True
12,12,AZ,1,Tom O'Halleran,D,1,True,51.6,3381353.0,3324138.0,True
13,13,AZ,1,Tiffany Shedd,R,1,False,48.4,1675618.0,1615704.0,False
14,14,AZ,2,Ann Kirkpatrick,D,1,True,55.1,1849862.0,1384765.0,True
15,15,AZ,2,Brandon Martin,R,1,False,44.9,374821.0,381067.0,False
16,16,AZ,3,Raul M Grijalva,D,1,True,64.6,843560.0,655507.0,True
17,17,AZ,3,Daniel Wood,R,1,False,35.4,41422.0,41962.0,False
18,18,AZ,4,Paul Gosar,R,1,True,69.8,622151.0,729892.0,True
19,19,AZ,4,Delina DiSanto,D,1,False,30.2,77168.0,79758.0,False
20,20,AZ,5,Andy Biggs,R,1,True,58.9,1602181.0,1236380.0,True
21,21,AZ,5,Joan Greene,D,1,False,41.1,356069.0,209789.0,False
22,22,AZ,6,David Schweikert,R,1,True,52.2,2265329.0,2249979.0,False
23,23,AZ,6,Hiral Tipirneni,D,1,False,47.8,6301073.0,6366702.0,True
24,24,AZ,7,Ruben Gallego,D,1,True,76.7,1811754.0,1653961.0,True
25,25,AZ,7,Josh Barnett,R,1,False,23.3,28093.0,17883.0,False
26,26,AZ,8,Debbie Lesko,R,1,True,59.6,1605245.0,987453.0,True
27,27,AZ,8,Michael Muscato,D,1,False,40.4,357906.0,347734.0,False
28,28,AZ,9,Greg Stanton,D,1,True,61.6,2001619.0,1001350.0,True
29,29,AZ,9,Dave Giles,R,1,False,38.4,130480.0,129935.0,False
30,30,AR,1,Rick Crawford,R,1,True,100.0,966801.0,1095518.0,True
31,31,AR,2,French Hill,R,1,True,55.4,3384490.0,3020491.0,False
32,32,AR,2,Joyce Elliott,D,1,False,44.6,3482463.0,3478733.0,True
33,33,AR,3,Steve Womack,R,1,True,64.3,1127158.0,923120.0,True
34,34,AR,3,Celeste Williams,D,1,False,31.8,355294.0,355294.0,False
35,35,AR,4,Bruce Westerman,R,1,True,69.7,1407770.0,1102573.0,True
36,36,AR,4,William Hanson,D,1,False,27.5,109767.0,111683.0,False
37,37,CA,1,Doug LaMalfa,R,1,True,56.9,1219556.0,1155945.0,False
38,38,CA,1,Audrey Denney,D,1,False,43.1,2461769.0,2457661.0,True
39,39,CA,2,Jared Huffman,D,1,True,75.7,899419.0,797753.0,True
40,40,CA,2,Dale Mensing,R,1,False,24.3,5921.0,2197.0,False
41,41,CA,3,John Garamendi,D,1,True,54.7,1054066.0,667320.0,True
42,42,CA,3,Tamika Hamilton,R,1,False,45.3,397099.0,384584.0,False
43,43,CA,4,Tom McClintock,R,1,True,55.9,2053363.0,2107248.0,False
44,44,CA,4,Brynne Kennedy,D,1,False,44.1,3006020.0,3002532.0,True
45,45,CA,5,Mike Thompson,D,1,True,76.8,2208136.0,2022751.0,True
46,46,CA,6,Doris Matsui,D,1,True,73.4,1019605.0,1073529.0,True
47,47,CA,6,Chris Bish,R,1,False,26.6,44772.0,44554.0,False
48,48,CA,7,Ami Bera,D,1,True,56.6,1757748.0,1053444.0,True
49,49,CA,7,Buzz Patterson,R,1,False,43.4,43876.0,29614.0,False
50,50,CA,8,Jay Obernolte,R,1,True,56.1,1861647.0,1792064.0,False
51,51,CA,8,Chris Bubser,D,1,False,43.9,1858001.0,1856613.0,True
52,52,CA,9,Jerry McNerney,D,1,True,57.6,1177959.0,1112543.0,True
53,53,CA,9,Tony Amador,R,1,False,42.4,52175.0,52175.0,False
54,54,CA,10,Josh Harder,D,1,True,55.2,7400135.0,3950613.0,True
55,55,CA,10,Ted Howze,R,1,False,44.8,1426552.0,1721882.0,False
56,56,CA,11,Mark Desaulnier,D,1,True,73.0,610394.0,440537.0,True
57,57,CA,11,Nisha Sharma,R,1,False,27.0,174954.0,171870.0,False
58,58,CA,12,Nancy Pelosi,D,1,True,77.6,27359508.0,22064953.0,True
59,59,CA,12,Shahid Buttar,D,1,False,22.4,1672876.0,1650467.0,False
60,60,CA,13,Barbara Lee,D,1,True,90.4,1828213.0,1750142.0,True
61,61,CA,13,Nikka Piterman,R,1,False,9.6,9839.0,9904.0,False
62,62,CA,14,Jackie Speier,D,1,True,79.3,942934.0,919599.0,True
63,63,CA,15,Eric Swalwell,D,1,True,70.9,2807774.0,3977839.0,True
64,64,CA,16,Jim Costa,D,1,True,59.3,2135525.0,1835244.0,True
65,65,CA,16,Kevin Cookingham,R,1,False,40.7,265364.0,265364.0,False
66,66,CA,17,Ro Khanna,D,1,True,71.3,3837982.0,2455457.0,True
67,67,CA,17,Ritesh Tandon,R,1,False,28.7,175536.0,175015.0,False
68,68,CA,18,Anna Eshoo,D,1,True,63.2,2114909.0,2059158.0,True
69,69,CA,18,Rishi Kumar,D,1,False,36.8,674383.0,691938.0,False
70,70,CA,19,Zoe Lofgren,D,1,True,71.7,1755555.0,1731700.0,True
71,71,CA,19,Justin Aguilera,R,1,False,28.3,9112.0,11542.0,False
72,72,CA,20,Jimmy Panetta,D,1,True,76.8,2009894.0,1592671.0,True
73,73,CA,20,Jeff Gorman,R,1,False,23.2,67634.0,64947.0,False
74,74,CA,21,TJ Cox,D,1,False,49.6,5695157.0,5694005.0,True
75,75,CA,21,David Valadao,R,1,True,50.4,4067880.0,3982587.0,False
76,76,CA,22,Devin Nunes,R,1,True,54.2,26825212.0,20156093.0,True
77,77,CA,22,Phil Arballo,D,1,False,45.8,5091451.0,5062185.0,False
78,78,CA,23,Kevin McCarthy,R,1,True,62.1,27780644.0,24265583.0,True
79,79,CA,23,Kim Mangone,D,1,False,37.9,1671101.0,1665373.0,False
80,80,CA,24,Salud Carbajal,D,1,True,58.7,2117836.0,1451622.0,True
81,81,CA,24,Andy Caldwell,R,1,False,41.3,1298798.0,1268199.0,False
82,82,CA,25,Mike Garcia,R,1,True,50.0,9962507.0,9584648.0,True
83,83,CA,25,Christy Smith,D,1,False,50.0,5977734.0,5808477.0,False
84,84,CA,26,Julia Brownley,D,1,True,60.6,1976695.0,1314677.0,True
85,85,CA,26,Ronda Kennedy,R,1,False,39.4,246226.0,67208.0,False
86,86,CA,27,Judy Chu,D,1,True,69.8,1213706.0,956298.0,True
87,87,CA,27,Johnny Nalbandian,R,1,False,30.2,39584.0,39159.0,False
88,88,CA,28,Adam Schiff,D,1,True,72.7,19382855.0,10188664.0,True
89,89,CA,28,Eric Early,R,1,False,27.3,4085322.0,3790027.0,False
90,90,CA,29,Tony Cardenas,D,1,True,56.6,1419697.0,1213588.0,True
91,91,CA,30,Brad Sherman,D,1,True,69.5,1513374.0,1111826.0,True
92,92,CA,31,Pete Aguilar,D,1,True,61.3,2475748.0,1861434.0,True
93,93,CA,31,Agnes Gibboney,R,1,False,38.7,138687.0,127907.0,False
94,94,CA,32,Grace Napolitano,D,1,True,66.6,478426.0,251047.0,True
95,95,CA,32,Joshua Scott,R,1,False,33.4,23624.0,14248.0,False
96,96,CA,33,Ted Lieu,D,1,True,67.6,1661436.0,1582573.0,True
97,97,CA,33,James Bradley,R,1,False,32.4,78910.0,79035.0,False
98,98,CA,34,Jimmy Gomez,D,1,True,53.0,1401166.0,1268312.0,True
99,99,CA,34,David Kim,D,1,False,47.0,193430.0,80381.0,False
100,100,CA,35,Norma Torres,D,1,True,69.3,654727.0,664600.0,True
101,101,CA,35,Mike Cargile,R,1,False,30.7,36113.0,35915.0,False
102,102,CA,36,Raul Ruiz,D,1,True,60.3,2402624.0,1732443.0,True
103,103,CA,36,Erin Cruz,R,1,False,39.7,54217.0,53840.0,False
104,104,CA,37,Karen Bass,D,1,True,85.9,2216467.0,1202942.0,True
105,105,CA,37,Errol Webber,R,1,False,14.1,66398.0,174076.0,False
106,106,CA,38,Linda Sanchez,D,1,True,74.3,1246008.0,1140165.0,True
107,107,CA,39,Gil Cisneros,D,1,False,49.4,4370133.0,4350464.0,False
108,108,CA,39,Young Kim,R,1,True,50.6,6424556.0,6021651.0,True
109,109,CA,40,Lucille Roybal-Allard,D,1,True,72.7,739790.0,741379.0,True
110,110,CA,40,Antonio Delgado,R,1,False,27.3,85014.0,79270.0,False
111,111,CA,41,Mark Takano,D,1,True,64.0,1020456.0,949494.0,True
112,112,CA,41,Aja Smith,R,1,False,36.0,660658.0,659909.0,False
113,113,CA,42,Ken Calvert,R,1,True,57.1,1441812.0,1549113.0,True
114,114,CA,42,Liam O'Mara,D,1,False,42.9,130065.0,128782.0,False
115,115,CA,43,Maxine Waters,D,1,True,71.7,1836660.0,1906957.0,False
116,116,CA,43,Joe Collins,R,1,False,28.3,10556626.0,9921103.0,True
117,117,CA,44,Nanette Barragan,D,1,True,67.8,1173909.0,714023.0,True
118,118,CA,45,Katie Porter,D,1,True,53.5,16627706.0,6443700.0,True
119,119,CA,45,Greg Raths,R,1,False,46.5,1245767.0,1241713.0,False
120,120,CA,46,Lou Correa,D,1,True,68.8,1192715.0,650707.0,True
121,121,CA,47,Alan Lowenthal,D,1,True,63.3,678648.0,854902.0,True
122,122,CA,47,John Briscoe,R,1,False,36.7,25302.0,21538.0,False
123,123,CA,48,Harley Rouda,D,1,False,48.9,5968858.0,6174443.0,True
124,124,CA,48,Michelle Steel,R,1,True,51.1,6305665.0,6148591.0,False
125,125,CA,49,Mike Levin,D,1,True,53.1,3845768.0,2901566.0,True
126,126,CA,49,Brian Maryott,R,1,False,46.9,2810253.0,2808217.0,False
127,127,CA,50,Darrell Issa,R,1,True,54.0,11239670.0,10947106.0,True
128,128,CA,50,Ammar Campa-Najjar,D,1,False,46.0,6248210.0,6247762.0,False
129,129,CA,51,Juan Vargas,D,1,True,68.3,799734.0,801671.0,True
130,130,CA,51,Juan Hidalgo,R,1,False,31.7,83730.0,81182.0,False
131,131,CA,52,Scott Peters,D,1,True,61.6,1911791.0,2131849.0,True
132,132,CA,52,James Debello,R,1,False,38.4,233464.0,224630.0,False
133,133,CA,53,Sara Jacobs,D,1,True,59.5,7678363.0,7586186.0,True
134,134,CA,53,Georgette Gomez,D,1,False,40.5,1691794.0,1663252.0,False
135,135,CO,1,Diana DeGette,D,1,True,73.7,1201026.0,1077130.0,True
136,136,CO,2,Joseph Neguse,D,1,True,61.5,1353325.0,674602.0,True
137,137,CO,2,Charles Winn,R,1,False,35.4,98338.0,98338.0,False
138,138,CO,3,Diane Mitsch Bush,D,1,False,45.2,5008274.0,4984238.0,True
139,139,CO,3,Lauren Boebert,R,1,True,51.4,2989510.0,2632716.0,False
140,140,CO,4,Ken Buck,R,1,True,60.1,478984.0,539393.0,True
141,141,CO,4,Ike McCorkle,D,1,False,36.1,369871.0,217398.0,False
142,142,CO,5,Doug Lamborn,R,1,True,57.6,540712.0,329011.0,True
143,143,CO,5,Jillian Freeland,D,1,False,37.4,185255.0,175548.0,False
144,144,CO,6,Jason Crow,D,1,True,57.1,4136137.0,2892443.0,True
145,145,CO,6,Steven House,R,1,False,40.0,1200056.0,1198044.0,False
146,146,CO,7,Ed Perlmutter,D,1,True,59.1,1632262.0,1339482.0,True
147,147,CO,7,Casper Stockham,R,1,False,37.6,147872.0,147872.0,False
148,148,CT,1,John Larson,D,1,True,63.7,1377238.0,1323690.0,True
149,149,CT,1,Mary Fay,R,1,False,35.0,26836.0,25118.0,False
150,150,CT,2,Joe Courtney,D,1,True,59.4,964731.0,999360.0,True
151,151,CT,2,Justin Anderson,R,1,False,38.2,80227.0,78767.0,False
152,152,CT,3,Rosa DeLauro,D,1,True,58.7,1938999.0,1795635.0,False
153,153,CT,3,Margaret Streicker,R,1,False,39.8,1839080.0,1835385.0,True
154,154,CT,4,Jim Himes,D,1,True,62.3,1612935.0,2180029.0,True
155,155,CT,4,Jonathan Riddle,R,1,False,36.2,31591.0,17385.0,False
156,156,CT,5,Jahana Hayes,D,1,True,55.1,2037826.0,1564685.0,True
157,157,CT,5,David Sullivan,R,1,False,43.5,397395.0,397370.0,False
158,158,DE,1,Lisa Blunt Rochester,D,1,True,57.6,2024201.0,1305618.0,True
159,159,DE,1,Lee Murphy,R,1,False,40.2,131394.0,131862.0,False
160,160,DE,1,Catherine Purcell,I,1,False,1.4,5344.0,5103.0,False
161,161,FL,1,Matt Gaetz,R,1,True,64.6,5946646.0,4482782.0,True
162,162,FL,1,Phil Ehr,D,1,False,34.0,2025099.0,1900451.0,False
163,163,FL,1,Bert Oram,I,1,False,1.4,8108.0,7070.0,False
164,164,FL,2,Neal Dunn,R,1,True,98.0,653488.0,637580.0,True
165,165,FL,3,Kat Cammack,R,1,True,57.1,1122188.0,1090334.0,True
166,166,FL,3,Adam Christensen,D,1,False,42.9,216021.0,219108.0,False
167,167,FL,4,John Rutherford,R,1,True,61.1,1024912.0,1283701.0,True
168,168,FL,4,Donna Deegan,D,1,False,38.9,1013157.0,1013157.0,False
169,169,FL,5,Al Lawson,D,1,True,65.1,848498.0,695779.0,True
170,170,FL,5,Gary Adler,R,1,False,34.9,146909.0,146909.0,False
171,171,FL,6,Michael Waltz,R,1,True,60.6,2549667.0,1716768.0,True
172,172,FL,6,Clint Curtis,D,1,False,39.4,24310.0,22251.0,False
173,173,FL,7,Stephanie Murphy,D,1,True,55.3,3124692.0,1798549.0,True
174,174,FL,7,Leo Valentin,R,1,False,43.2,1045426.0,1031316.0,False
175,175,FL,7,Bill Garlington,I,1,False,1.4,11000.0,0.0,False
176,176,FL,8,Bill Posey,R,1,True,61.4,985268.0,1121834.0,True
177,177,FL,8,James Kennedy,D,1,False,38.6,138568.0,138790.0,False
178,178,FL,9,Darren Soto,D,1,True,56.0,1111750.0,945868.0,True
179,179,FL,9,William Olson,R,1,False,44.0,404406.0,401088.0,False
180,180,FL,10,Val Demings,D,1,True,63.6,1876047.0,1191020.0,True
181,181,FL,10,Vennia Francois,R,1,False,36.4,335480.0,332852.0,False
182,182,FL,11,Daniel Webster,R,1,True,66.7,691261.0,586965.0,True
183,183,FL,11,Dana Cottrell,D,1,False,33.3,62658.0,62380.0,False
184,184,FL,12,Gus Bilirakis,R,1,True,62.9,1604137.0,1548634.0,True
185,185,FL,12,Kim Walker,D,1,False,37.1,42802.0,33544.0,False
186,186,FL,13,Charlie Crist,D,1,True,53.0,2720646.0,3980695.0,True
187,187,FL,13,Anna Paulina Luna,R,1,False,47.0,3302944.0,3262236.0,False
188,188,FL,14,Kathy Castor,D,1,True,60.3,884651.0,1201653.0,True
189,189,FL,14,Christine Quinn,R,1,False,39.7,242144.0,241187.0,False
190,190,FL,15,Alan Cohn,D,1,False,44.6,2333053.0,2300197.0,True
191,191,FL,15,Scott Franklin,R,1,True,55.4,1663898.0,1638417.0,False
192,192,FL,16,Vernon Buchanan,R,1,True,55.5,3094611.0,3100766.0,False
193,193,FL,16,Margaret Good,D,1,False,44.5,3411924.0,3407845.0,True
194,194,FL,17,Greg Steube,R,1,True,64.6,759908.0,621200.0,True
195,195,FL,17,Allen Ellison,D,1,False,34.1,83481.0,78243.0,False
196,196,FL,18,Brian Mast,R,1,True,56.4,6128177.0,5301307.0,True
197,197,FL,18,Pam Keith,D,1,False,41.5,1639873.0,1632736.0,False
198,198,FL,19,Byron Donalds,R,1,True,61.3,3219579.0,2738685.0,True
199,199,FL,19,Cindy Banyai,D,1,False,38.7,214750.0,203430.0,False
200,200,FL,20,Alcee Hastings,D,1,True,78.7,607649.0,543316.0,True
201,201,FL,20,Greg Musselwhite,R,1,False,21.3,28955.0,27538.0,False
202,202,FL,21,Lois Frankel,D,1,True,59.0,1534882.0,1309786.0,False
203,203,FL,21,Laura Loomer,R,1,False,39.1,2271604.0,2240689.0,True
204,204,FL,21,Charleston Malkemus,I,1,False,1.9,28928.0,28636.0,False
205,205,FL,22,Ted Deutch,D,1,True,58.6,1364438.0,1265494.0,True
206,206,FL,22,Jim Pruden,R,1,False,41.4,278416.0,278416.0,False
207,207,FL,23,Debbie Wasserman Schultz,D,1,True,58.2,2191922.0,1979903.0,True
208,208,FL,23,Carla Spalding,R,1,False,41.8,919579.0,903561.0,False
209,209,FL,24,Frederica Wilson,D,1,True,75.6,412592.0,321019.0,True
210,210,FL,24,Lavern Spicer,R,1,False,20.4,34973.0,34909.0,False
211,211,FL,24,Christine Olivo,I,1,False,4.0,31646.0,32898.0,False
212,212,FL,25,Mario Diaz-Balart,R,1,True,100.0,1590134.0,804054.0,True
213,213,FL,26,Debbie Mucarsel-Powell,D,1,False,48.3,6793521.0,6822740.0,True
214,214,FL,26,Carlos Gimenez,R,1,True,51.7,2226559.0,2187389.0,False
215,215,FL,27,Donna Shalala,D,1,False,48.6,3842907.0,3735966.0,True
216,216,FL,27,Maria Salazar,R,1,True,51.4,3654190.0,3645814.0,False
217,217,GA,1,Buddy Carter,R,1,True,58.4,2315487.0,1734754.0,True
218,218,GA,1,Joyce Griggs,D,1,False,41.7,130043.0,125000.0,False
219,219,GA,2,Sanford Bishop,D,1,True,59.1,1540683.0,1440571.0,True
220,220,GA,2,Don Cole,R,1,False,40.9,164274.0,162522.0,False
221,221,GA,3,Drew Ferguson,R,1,True,65.0,2374212.0,2150911.0,True
222,222,GA,3,Val Almonord,D,1,False,35.0,35762.0,31946.0,False
223,223,GA,4,Hank Johnson,D,1,True,80.1,628303.0,490360.0,True
224,224,GA,4,Johsira C. Cruz,R,1,False,19.9,12954.0,23146.0,False
225,225,GA,5,Nikema Williams,D,1,True,85.2,553964.0,362801.0,True
226,226,GA,5,Angela Stanton-King,R,1,False,14.9,305279.0,301338.0,False
227,227,GA,6,Lucy McBath,D,1,True,54.6,8507298.0,8586054.0,True
228,228,GA,6,Karen Handel,R,1,False,45.4,3026243.0,3072932.0,False
229,229,GA,7,Carolyn Bourdeaux,D,1,True,54.4,5133244.0,5161230.0,True
230,230,GA,7,Richard McCormick,R,1,False,48.6,2595446.0,2563724.0,False
231,231,GA,8,Austin Scott,R,1,True,64.5,821745.0,716159.0,True
232,232,GA,9,Andrew Clyde,R,1,True,78.6,1569425.0,1561316.0,True
233,233,GA,9,Devin Pandy,D,1,False,21.4,84272.0,84623.0,False
234,234,GA,10,Jody Hice,R,1,True,62.3,595947.0,457648.0,True
235,235,GA,10,Tabitha Johnson-Green,D,1,False,37.7,14808.0,12214.0,False
236,236,GA,11,Barry Loudermilk,R,1,True,60.4,877767.0,700851.0,True
237,237,GA,11,Dana Barrett,D,1,False,39.6,404625.0,394977.0,False
238,238,GA,12,Richard W Allen,R,1,True,58.4,1228970.0,662818.0,True
239,239,GA,12,Liz Johnson,D,1,False,41.6,72061.0,72061.0,False
240,240,GA,13,David Scott,D,1,True,77.4,1209614.0,1131746.0,True
241,241,GA,13,Becky Hites,R,1,False,22.6,63509.0,62935.0,False
242,242,GA,14,Marjorie Taylor Greene,R,1,True,74.8,2596914.0,2237599.0,True
243,243,HI,1,Ed Case,D,1,False,64.7,508249.0,472569.0,True
244,244,HI,1,Ron Curtis,R,1,False,25.1,12538.0,12647.0,False
245,245,HI,2,Kai Kahele,D,1,True,57.9,1235523.0,1039637.0,True
246,246,HI,2,Joe Akana,R,1,False,28.3,54534.0,55344.0,False
247,247,ID,1,Russ Fulcher,R,1,True,67.8,575485.0,508457.0,True
248,248,ID,1,Rudy Soto,D,1,False,28.7,302902.0,302902.0,False
249,249,ID,2,Mike Simpson,R,1,True,64.1,1008847.0,1099604.0,True
250,250,ID,2,Aaron Swisher,D,1,False,31.7,70674.0,70268.0,False
251,251,IL,1,Bobby Rush,D,1,True,73.8,541435.0,496454.0,True
252,252,IL,1,Philanise White,R,1,False,26.2,6289.0,5048.0,False
253,253,IL,2,Robin Kelly,D,1,True,78.8,1634783.0,1108137.0,True
254,254,IL,3,Marie Newman,D,1,True,56.4,2802093.0,2699323.0,True
255,255,IL,3,Mike Fricilone,R,1,False,43.6,128458.0,127980.0,False
256,256,IL,4,Jesus Garcia,D,1,True,16.0,822846.0,711159.0,True
257,257,IL,4,Jesus Solorio Jr,R,1,False,84.0,2065.0,843.0,False
258,258,IL,5,Mike Quigley,D,1,True,70.8,1171507.0,926655.0,True
259,259,IL,6,Sean Casten,D,1,True,52.8,5582179.0,5313570.0,True
260,260,IL,6,Jeanne Ives,R,1,False,45.4,3157771.0,3135464.0,False
261,261,IL,7,Danny K Davis,D,1,True,80.4,544690.0,505506.0,True
262,262,IL,8,Raja Krishnamoorthi,D,1,True,73.2,6358878.0,2207703.0,True
263,263,IL,9,Jan Schakowsky,D,1,True,71.0,1834801.0,1514838.0,True
264,264,IL,9,Sargis Sangari,R,1,False,29.0,35364.0,34715.0,False
265,265,IL,10,Brad Schneider,D,1,True,63.8,3459512.0,2873333.0,True
266,266,IL,10,Valerie Ramirez Mukherjee,R,1,False,36.2,130225.0,64764.0,False
267,267,IL,11,Bill Foster,D,1,True,63.3,2381354.0,1823906.0,True
268,268,IL,11,Rick Laib,R,1,False,36.7,20343.0,20064.0,False
269,269,IL,12,Mike Bost,R,1,True,60.6,1918041.0,1509573.0,True
270,270,IL,12,Ray Lenzi,D,1,False,39.4,161324.0,104809.0,False
